标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID,,bot
?? ,非敏感,转发,10/12/2020 16:29,@微博篮球 【转发抽湖人队帽衫】#为湖人夺冠换头像# ?湖！人！总！冠！军！?让我们一起更换微博头像！?庆祝湖人夺冠！致敬科比！?Kobe！This is for you！?快换上下方的头像吧！转发本博+更换头像，抽1位获得湖人队限定帽衫！  #湖人总冠军# ??,普通,河北,石家庄,女,?? 【原微博】 @微博篮球 【转发抽湖人队帽衫】#为湖人夺冠换头像# ?湖！人！总！冠！军！?让我们一起更换微博头像！?庆祝湖人夺冠！致敬科比！?Kobe！This is for you！?快换上下方的头像吧！转发本博+更换头像，抽1位获得湖人队限定帽衫！  #湖人总冠军# ??,275,103,0,0,0,湖人总冠军;为湖人夺冠换头像,中性,其他,"[http://wx2.sinaimg.cn/bmiddle/00368BvZly1gjmdab9iekj60a00a0q8s02.jpg""]""",ffe0af798cc0a24f9fcca68e024de14f,08116557b1ff6203df59e9639327b501,828dc281f4581e0aa111c1ff90e14d4e,197f27361493e117d37977fea562d68e,828dc281f4581e0aa111c1ff90e14d4e,197f27361493e117d37977fea562d68e,,1
[钱][二哈][傻眼] ,非敏感,转发,10/30/2020 11:44,@体育小球迷迷妹 #体育#  [cp]#十年对比大赏# 跟随视频，回顾十年前后，湖人夺得总冠军时的场景！彼时的科比&加索尔，已经变成了现如今的老詹+浓眉，十年一轮回，看到科比，眼前也是闪回过许多瞬间，满满的回忆！#占场为王# http://t.cn/A6bFsRbm ???[/cp] ??,普通,山东,青岛,男,[钱][二哈][傻眼] 【原微博】 @体育小球迷迷妹 #体育#  [cp]#十年对比大赏# 跟随视频，回顾十年前后，湖人夺得总冠军时的场景！彼时的科比&加索尔，已经变成了现如今的老詹+浓眉，十年一轮回，看到科比，眼前也是闪回过许多瞬间，满满的回忆！#占场为王# http://t.cn/A6bFsRbm ???[/cp] ??,22,902,0,0,0,体育;占场为王;十年对比大赏,喜悦,其他, ,ffab3dc5e148fbda6bd36298375d0f22,3d464e9395c53c9864e57eca17037597,9da0ae26c13652623c9f8ba3a9f136a2,14251ab340baaaa5cabcd3bd822e73c6,9da0ae26c13652623c9f8ba3a9f136a2,14251ab340baaaa5cabcd3bd822e73c6,,1
宝掰太优秀了 ,非敏感,转发,9/4/2020 22:00,@星娱 #乘风破浪的姐姐成团之夜# 乐华七子加油秀《Blah-Blan丛林法则》朱正廷、范丞丞、黄明昊、毕雯珺、丁泽仁、李权哲、黄新淳，ALL BLACK太酷了！少年们舞台好炸啊！！ http://t.cn/A64fMKyt ??,普通,山东,淄博,男,宝掰太优秀了 【原微博】 @星娱 #乘风破浪的姐姐成团之夜# 乐华七子加油秀《Blah-Blan丛林法则》朱正廷、范丞丞、黄明昊、毕雯珺、丁泽仁、李权哲、黄新淳，ALL BLACK太酷了！少年们舞台好炸啊！！ http://t.cn/A64fMKyt ??,0,15,0,0,0,乘风破浪的姐姐成团之夜,悲伤,其他, ,ff8248cc905a4a3ec5b4384df99c4323,0880eb341bc4b39317a4a25431f07d55,c098a53cb9a0a0eba60b8052f9f1f500,89b5e44d521c1b86af8cdd86447a7e8e,c098a53cb9a0a0eba60b8052f9f1f500,89b5e44d521c1b86af8cdd86447a7e8e,,0
[心] ,非敏感,转发,9/3/2020 12:52,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,上海, ,男,[心] 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,0,72,0,0,0,乘风破浪的姐姐,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",ff7f8a8a690542c7f9b5cbf501b256b3,d6b4b218a8acc065f9f73cda06cba74f,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,d45b0c32ee31bc5f01dc30ac19230c72,6ad90069002a21c7374c728ded38638d,,0
转发微博 ,非敏感,转发,9/3/2020 10:11,@综艺少女李大嘴 #姐姐成团之夜嘉宾阵容##蔡徐坤参加姐姐成团之夜# 《乘风破浪的姐姐》公布成团位见证官—蔡徐坤！原创制作人，和姐姐们一起燃炸舞台吧！[心] ??,普通,广东,汕尾,男,转发微博 【原微博】 @综艺少女李大嘴 #姐姐成团之夜嘉宾阵容##蔡徐坤参加姐姐成团之夜# 《乘风破浪的姐姐》公布成团位见证官—蔡徐坤！原创制作人，和姐姐们一起燃炸舞台吧！[心] ??,4,388,0,0,0,蔡徐坤参加姐姐成团之夜;姐姐成团之夜嘉宾阵容,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/007dMMjHly1gid8lowhmhj30qo130aet.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/007dMMjHly1gid8lpp10zj31jk2qse84.jpg""]""",ff668cbbb8b588c81607c3a744a18526,8f6c6782292302e8ee1b02be2195246d,f78109005dff1770acf9357014f5b65b,71b191c029f3ab53ffce65582736ddc3,f78109005dff1770acf9357014f5b65b,71b191c029f3ab53ffce65582736ddc3,,1
//@评论打卡:#蔡徐坤快乐大本营#本周六又可以在快本见到蔡徐坤了！只要一到快本，蔡小葵就一定会出现！[awsl][awsl][awsl]#原创音乐制作人蔡徐坤# ,非敏感,转发,9/20/2020 9:10,@芒果TV 【#乘风破浪的姐姐#成团之夜】“气氛开始升温”，《情人》原唱@蔡徐坤 现场演绎精彩，光和影交错，越夜越迷人，每一句都唱到心里[太开心]，“i really wanna dance tonight” http://t.cn/A64fxDjd ??,普通,广东,汕尾,男,//@评论打卡:#蔡徐坤快乐大本营#本周六又可以在快本见到蔡徐坤了！只要一到快本，蔡小葵就一定会出现！[awsl][awsl][awsl]#原创音乐制作人蔡徐坤# 【原微博】 @芒果TV 【#乘风破浪的姐姐#成团之夜】“气氛开始升温”，《情人》原唱@蔡徐坤 现场演绎精彩，光和影交错，越夜越迷人，每一句都唱到心里[太开心]，“i really wanna dance tonight” http://t.cn/A64fxDjd ??,4,388,0,0,0,原创音乐制作人蔡徐坤;蔡徐坤快乐大本营;乘风破浪的姐姐,喜悦,其他, ,ff668cbbb8b588c81607c3a744a18526,8dbc41b369eef014a800f1870f5af9e0,f9c107f929d0d71716f6bd52a60178f1,ff69a0034a5cf1432a5408141b4b1859,f373bbf7dc408f6f8726641a9a8d6630,d77ebaf9115390dfc545af62c8db2093,,0
转发微博 ,非敏感,转发,10/13/2020 19:12,@超级控球后卫 #湖人总冠军# 我们是冠军！洛杉矶湖人队球员在更衣室开香槟庆祝！#霍华德终于有冠军了#  http://t.cn/A6baigJF ??,普通,辽宁,沈阳,男,转发微博 【原微博】 @超级控球后卫 #湖人总冠军# 我们是冠军！洛杉矶湖人队球员在更衣室开香槟庆祝！#霍华德终于有冠军了#  http://t.cn/A6baigJF ??,8,86,0,0,0,湖人总冠军;霍华德终于有冠军了,愤怒,其他, ,ff42ab23780b7a03b4fd000fec34ed5e,bce8cf415bb398cf325df56f40aa37be,4dd71cdf8d52a0809d58e963cce67bc2,4b3dfa4e12b537deca56e46c969a3727,4dd71cdf8d52a0809d58e963cce67bc2,4b3dfa4e12b537deca56e46c969a3727,,1
[哈欠][蛋糕]看的我激动得不知道怎么说了[晕] ,非敏感,转发,10/13/2020 18:06,@李鑫一Rex 一个赛季结束了，湖人总冠军！！湖人总冠军！湖人总冠军！！????? ??,普通,广东,惠州,男,[哈欠][蛋糕]看的我激动得不知道怎么说了[晕] 【原微博】 @李鑫一Rex 一个赛季结束了，湖人总冠军！！湖人总冠军！湖人总冠军！！????? ??,0,1869,0,0,0, ,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/006m9KLkly1gjmg6c32vmj30ku112k1u.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/006m9KLkly1gjmg63m1z8j31hc0u0hbe.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/006m9KLkly1gjmg6l6x6dj30j60ny0wn.jpg""]""",ff085ff2d585c340b44ab63a502e1e86,5592632f155a3046b578eb715fa34984,825c877fc7b61efaa24bb39892b26c3c,27c2ea1d02d4b71fa21e378051ce26c6,b18e2aeb26696108ec3390a0986b1b06,39726c2cbecbfe373a883f01482bb463,,0
冠军咯，冠军咯！！！！湖人总冠军 ??,非敏感,原创,10/12/2020 10:05, ,普通,河南,郑州,男,冠军咯，冠军咯！！！！湖人总冠军 ??,264,1571,0,0,1, ,喜悦,其他, ,fef2c81c5b5a55e89d375bb01cbbab7e,1d139c3e6c2ef192a2058b09b412ed94,,,,,,0
转发微博 ,非敏感,转发,10/13/2020 13:50,@科比吧官方微博 “Kobe”呼喊声响彻街道。多遥远 多纠结 多想念 多无法描写，疼痛 和疯癫 你都看不见。Miss you so much@KobeBryant #湖人总冠军##科比你看到了吗##KobeForever# http://t.cn/A6bSV8T4 ??,普通,河南, ,男,转发微博 【原微博】 @科比吧官方微博 “Kobe”呼喊声响彻街道。多遥远 多纠结 多想念 多无法描写，疼痛 和疯癫 你都看不见。Miss you so much@KobeBryant #湖人总冠军##科比你看到了吗##KobeForever# http://t.cn/A6bSV8T4 ??,264,1571,0,0,0,湖人总冠军;KOBEFOREVER;科比你看到了吗,中性,其他, ,fef2c81c5b5a55e89d375bb01cbbab7e,4fcb7ac004d320fba4fe348700921663,64f0bab77d2a1f6e3fdf9ebe09d57a2c,37dfca61a478b5d4bf34cfb747cb03fd,64f0bab77d2a1f6e3fdf9ebe09d57a2c,37dfca61a478b5d4bf34cfb747cb03fd,,1
