label,标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
1,#腾讯中午的辣椒酱突然不香了##3人伪造老干妈印章与腾讯签合同# 【一瓶老干妈】淼哥读大学的时候，吃老干妈辣酱绝对是身份和地位的象征。开一瓶，不吃上一个学期不罢休，困了累了来一粒，平时锁在柜子里。        那时候大家都没什么闲钱，男生追女孩子，为显诚意是请吃麦当劳，记得甜筒刚出来的时候，一块钱一个。        现在想着请女孩子吃麦当劳？估计这辈子就只能撸管了。? ? ? ? ?曾经的淼哥，勒紧裤腰带攒下每一个铜板，担心明天就会来一场大的动荡。节衣缩食、衣着褴褛，盗版碟都舍不得买一张，闻着老干妈辣酱的味道下饭，过节的时候才挑出一坨解解馋。         舍不得花钱，这是淼哥猥琐的缘由。身材矮小，面黄肌瘦，外加顶着向左偏分的鸡窝头，一般女生都掩鼻疾去，枉费淼哥满腹的经纶呀！         此去经年，还是同样的配方，还是同样的价格。老干妈9块8毛钱一瓶，照平时一餐二十块钱起难吃的盒饭比，完全是业界良心。         只不过，陪在你身边那个嘴唇上有一圈细绒绒胡子的女孩，早已失去了联系，当年躲在自习室写的情书，早已埋在了土里。         欧漏，淼哥的青春一去不复返，引以为豪的黄瓜，被岁月折磨成了一条煮过的豆芽。         2020，没有等来爱你爱你的人，只等来一场又一场的灾难，时代的一粒灰，落在一个人的身上便是一座山。          如若放在平时，淼哥肯定不会舍得淼哥转售这半瓶老干妈，现在是真的遇到困难了。? ? ? ? ?去年8月初才买的，吃了一半，里边还有很多牛肉、豆豉，没咋舍得吃，平常吃完一直放在冰箱里，吃完就拧上盖，外表九成新，量很足，包行货，假一罚万。? ? ? ? ?就米饭，真的很好吃，平常小半勺子就能送两碗饭（没其他菜），炒菜放一两粒提味添香，男女咸宜。        迫不得已，非诚勿扰。        顺便问问，有谁能帮淼哥找老干妈申请一下广告费吗？打这么多字，右手中指痛，树起来都困难。       对了，淼哥读书少，但是不傻，合同签名一定要签“陶华碧”，谁签“老干妈”淼哥跟谁急。,非敏感,原创,7/1/2020 19:17, ,金V,广东, ,男,#腾讯中午的辣椒酱突然不香了##3人伪造老干妈印章与腾讯签合同# 【一瓶老干妈】淼哥读大学的时候，吃老干妈辣酱绝对是身份和地位的象征。开一瓶，不吃上一个学期不罢休，困了累了来一粒，平时锁在柜子里。        那时候大家都没什么闲钱，男生追女孩子，为显诚意是请吃麦当劳，记得甜筒刚出来的时候，一块钱一个。        现在想着请女孩子吃麦当劳？估计这辈子就只能撸管了。? ? ? ? ?曾经的淼哥，勒紧裤腰带攒下每一个铜板，担心明天就会来一场大的动荡。节衣缩食、衣着褴褛，盗版碟都舍不得买一张，闻着老干妈辣酱的味道下饭，过节的时候才挑出一坨解解馋。         舍不得花钱，这是淼哥猥琐的缘由。身材矮小，面黄肌瘦，外加顶着向左偏分的鸡窝头，一般女生都掩鼻疾去，枉费淼哥满腹的经纶呀！         此去经年，还是同样的配方，还是同样的价格。老干妈9块8毛钱一瓶，照平时一餐二十块钱起难吃的盒饭比，完全是业界良心。         只不过，陪在你身边那个嘴唇上有一圈细绒绒胡子的女孩，早已失去了联系，当年躲在自习室写的情书，早已埋在了土里。         欧漏，淼哥的青春一去不复返，引以为豪的黄瓜，被岁月折磨成了一条煮过的豆芽。         2020，没有等来爱你爱你的人，只等来一场又一场的灾难，时代的一粒灰，落在一个人的身上便是一座山。          如若放在平时，淼哥肯定不会舍得淼哥转售这半瓶老干妈，现在是真的遇到困难了。? ? ? ? ?去年8月初才买的，吃了一半，里边还有很多牛肉、豆豉，没咋舍得吃，平常吃完一直放在冰箱里，吃完就拧上盖，外表九成新，量很足，包行货，假一罚万。? ? ? ? ?就米饭，真的很好吃，平常小半勺子就能送两碗饭（没其他菜），炒菜放一两粒提味添香，男女咸宜。        迫不得已，非诚勿扰。        顺便问问，有谁能帮淼哥找老干妈申请一下广告费吗？打这么多字，右手中指痛，树起来都困难。       对了，淼哥读书少，但是不傻，合同签名一定要签“陶华碧”，谁签“老干妈”淼哥跟谁急。,4241509,12955,0,11,83,3人伪造老干妈印章与腾讯签合同;腾讯中午的辣椒酱突然不香了,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/853f0ed3gy1ggbot87363j20es08cdgf.jpg""]""",3e94630b688b7a8126ab1842d455081d,bcc71eb264dbca5337dfd00d3f64561d,,,,
1,#腾讯中午的辣椒酱突然不香了##3人伪造老干妈印章与腾讯签合同# 【一瓶老干妈】淼哥读大学的时候，吃老干妈辣酱绝对是身份和地位的象征。开一瓶，不吃上一个学期不罢休，困了累了来一粒，平时锁在柜子里。        那时候大家都没什么闲钱，男生追女孩子，为显诚意是请吃麦当劳，记得甜筒刚出来的时候，一块钱一个。        现在想着请女孩子吃麦当劳？估计这辈子就只能撸管了。? ? ? ? ?曾经的淼哥，勒紧裤腰带攒下每一个铜板，担心明天就会来一场大的动荡。节衣缩食、衣着褴褛，盗版碟都舍不得买一张，闻着老干妈辣酱的味道下饭，过节的时候才挑出一坨解解馋。         舍不得花钱，这是淼哥猥琐的缘由。身材矮小，面黄肌瘦，外加顶着向左偏分的鸡窝头，一般女生都掩鼻疾去，枉费淼哥满腹的经纶呀！         此去经年，还是同样的配方，还是同样的价格。老干妈9块8毛钱一瓶，照平时一餐二十块钱起难吃的盒饭比，完全是业界良心。         只不过，陪在你身边那个嘴唇上有一圈细绒绒胡子的女孩，早已失去了联系，当年躲在自习室写的情书，早已埋在了土里。         欧漏，淼哥的青春一去不复返，引以为豪的黄瓜，被岁月折磨成了一条煮过的豆芽。         2020，没有等来爱你爱你的人，只等来一场又一场的灾难，时代的一粒灰，落在一个人的身上便是一座山。          如若放在平时，淼哥肯定不会舍得转售这半瓶老干妈，现在是真的遇到困难了。? ? ? ? ?去年8月初才买的，吃了一半，里边还有很多牛肉、豆豉，没咋舍得吃，平常吃完一直放在冰箱里，吃完就拧上盖，外表九成新，量很足，包行货，假一罚万。? ? ? ? ?就米饭，真的很好吃，平常小半勺子就能送两碗饭（没其他菜），炒菜放一两粒提味添香，男女咸宜。        迫不得已，非诚勿扰。        顺便问问，有谁能帮淼哥找老干妈申请一下广告费吗？打这么多字，右手中指痛，树起来都困难。       对了，淼哥读书少，但是不傻，合同签名一定要签“陶华碧”，谁签“老干妈”淼哥跟谁急。,非敏感,原创,7/1/2020 19:17, ,金V,广东, ,男,#腾讯中午的辣椒酱突然不香了##3人伪造老干妈印章与腾讯签合同# 【一瓶老干妈】淼哥读大学的时候，吃老干妈辣酱绝对是身份和地位的象征。开一瓶，不吃上一个学期不罢休，困了累了来一粒，平时锁在柜子里。        那时候大家都没什么闲钱，男生追女孩子，为显诚意是请吃麦当劳，记得甜筒刚出来的时候，一块钱一个。        现在想着请女孩子吃麦当劳？估计这辈子就只能撸管了。? ? ? ? ?曾经的淼哥，勒紧裤腰带攒下每一个铜板，担心明天就会来一场大的动荡。节衣缩食、衣着褴褛，盗版碟都舍不得买一张，闻着老干妈辣酱的味道下饭，过节的时候才挑出一坨解解馋。         舍不得花钱，这是淼哥猥琐的缘由。身材矮小，面黄肌瘦，外加顶着向左偏分的鸡窝头，一般女生都掩鼻疾去，枉费淼哥满腹的经纶呀！         此去经年，还是同样的配方，还是同样的价格。老干妈9块8毛钱一瓶，照平时一餐二十块钱起难吃的盒饭比，完全是业界良心。         只不过，陪在你身边那个嘴唇上有一圈细绒绒胡子的女孩，早已失去了联系，当年躲在自习室写的情书，早已埋在了土里。         欧漏，淼哥的青春一去不复返，引以为豪的黄瓜，被岁月折磨成了一条煮过的豆芽。         2020，没有等来爱你爱你的人，只等来一场又一场的灾难，时代的一粒灰，落在一个人的身上便是一座山。          如若放在平时，淼哥肯定不会舍得转售这半瓶老干妈，现在是真的遇到困难了。? ? ? ? ?去年8月初才买的，吃了一半，里边还有很多牛肉、豆豉，没咋舍得吃，平常吃完一直放在冰箱里，吃完就拧上盖，外表九成新，量很足，包行货，假一罚万。? ? ? ? ?就米饭，真的很好吃，平常小半勺子就能送两碗饭（没其他菜），炒菜放一两粒提味添香，男女咸宜。        迫不得已，非诚勿扰。        顺便问问，有谁能帮淼哥找老干妈申请一下广告费吗？打这么多字，右手中指痛，树起来都困难。       对了，淼哥读书少，但是不傻，合同签名一定要签“陶华碧”，谁签“老干妈”淼哥跟谁急。,4241351,12959,0,11,83,3人伪造老干妈印章与腾讯签合同;腾讯中午的辣椒酱突然不香了,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/853f0ed3gy1ggbot87363j20es08cdgf.jpg""]""",3e94630b688b7a8126ab1842d455081d,bcc71eb264dbca5337dfd00d3f64561d,,,,
1,#腾讯回应被骗# #老干妈回应称腾讯被骗了# #3人伪造老干妈印章与腾讯签合同#草蛇灰线，伏脉于千里之外。,敏感,原创,7/1/2020 19:56, ,金V,广东, ,男,#腾讯回应被骗# #老干妈回应称腾讯被骗了# #3人伪造老干妈印章与腾讯签合同#草蛇灰线，伏脉于千里之外。,4241351,12959,4,2,32,3人伪造老干妈印章与腾讯签合同;腾讯回应被骗;老干妈回应称腾讯被骗了,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/853f0ed3gy1ggbpserupzj20y00l9agr.jpg""]""",3e94630b688b7a8126ab1842d455081d,b75431200160065e012e46cd7f4bbd2f,,,,
1,#3人伪造老干妈印章与腾讯签合同#草蛇灰线，伏脉于千里之外。 ??,敏感,原创,7/1/2020 19:56, ,金V,广东, ,男,#3人伪造老干妈印章与腾讯签合同#草蛇灰线，伏脉于千里之外。 ??,4241349,12959,4,2,32,3人伪造老干妈印章与腾讯签合同,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/853f0ed3gy1ggbpserupzj20y00l9agr.jpg""]""",3e94630b688b7a8126ab1842d455081d,b75431200160065e012e46cd7f4bbd2f,,,,
1,//@逸轩harmony:“总裁，老干妈资产已经申请查封了，已经在热搜晾了一天了！” “她认错了吗？” “她说我们认错人了。” ,非敏感,转发,7/2/2020 9:01,@百度搜索 手里的瓜突然不香了……有一说一，这事与我无关。请大家不传谣不信谣，理性吃瓜。#3人伪造老干妈印章与腾讯签合同# ??,普通,湖南, ,男,//@逸轩harmony:“总裁，老干妈资产已经申请查封了，已经在热搜晾了一天了！” “她认错了吗？” “她说我们认错人了。” 【原微博】 @百度搜索 手里的瓜突然不香了……有一说一，这事与我无关。请大家不传谣不信谣，理性吃瓜。#3人伪造老干妈印章与腾讯签合同# ??,1549861,58827,0,0,3,3人伪造老干妈印章与腾讯签合同,愤怒,其他,"[http://wx2.sinaimg.cn/bmiddle/8d90b743ly1ggbkyh8gw5j20i60cen16.jpg""]""",0aa0b00efa718aec6421754babed186b,f2a43cb0934f900a35b8ffb47d45b8ab,833fee6b5c348ac97eabf421855a9b0b,77354e09c86054889674cf7c386c3fd3,833fee6b5c348ac97eabf421855a9b0b,77354e09c86054889674cf7c386c3fd3
1,//@Will今天好好学习了没:如果从不当得利的角度呢? ,敏感,转发,7/2/2020 9:01,@岳屾山 #3人伪造老干妈印章与腾讯签合同##V光计划# 【老干妈要给腾讯付钱不】这个事要分两个层面来讲，一个是刑事层面，一个是民事层面。在刑事层面比较简单，犯罪嫌疑人使用伪造的印章订立合同以达到骗钱钱财的目的，涉嫌构成诈骗罪或合同诈骗罪。在本案中，伪造印章是手段行为，属于牵连犯，择一重罪处理即可。一般会认定为诈骗罪或合同诈骗罪。民事层面，要看是否构成表见代理，这也是腾讯能否让老干妈付款的关键。表见代理说的没有代理权却实施了代理行为，而善意的相对人有理由相信表见代理人有代理权，此时，法律后果由被代理人承担,普通,湖南, ,男,//@Will今天好好学习了没:如果从不当得利的角度呢? 【原微博】 @岳屾山 #3人伪造老干妈印章与腾讯签合同##V光计划# 【老干妈要给腾讯付钱不】这个事要分两个层面来讲，一个是刑事层面，一个是民事层面。在刑事层面比较简单，犯罪嫌疑人使用伪造的印章订立合同以达到骗钱钱财的目的，涉嫌构成诈骗罪或合同诈骗罪。在本案中，伪造印章是手段行为，属于牵连犯，择一重罪处理即可。一般会认定为诈骗罪或合同诈骗罪。民事层面，要看是否构成表见代理，这也是腾讯能否让老干妈付款的关键。表见代理说的没有代理权却实施了代理行为，而善意的相对人有理由相信表见代理人有代理权，此时，法律后果由被代理人承担。简单讲，犯罪嫌疑人这三个人伪造印章，冒充老干妈的工作人员来签合同，这三人是没有权利代理老干妈的。但是如果腾讯不知情，并且采取了一定的验证之后，有理由相信这三个人是有权利签这个合同的，此时这三个人构成表见代理，这个合同就对老干妈产生约束力。在司法实践中，伪造印章签订的合同最后有的就给认定构成表见代理了。但是表见代理的认定很严格，最后能否认定还得综合考量（个人认为难度较大）。咱们还是接着吃瓜吧。[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜]录制视频时差点翻车，还好孩子没有入镜，请忽略书柜玻璃的影子。 http://t.cn/A6yhBOf2,1549861,58827,0,0,0,3人伪造老干妈印章与腾讯签合同;V光计划,喜悦,其他, ,0aa0b00efa718aec6421754babed186b,5a173a278442f2522005fb133029b4f9,811121e437d287f684c53dae9803d1d5,dcc67b55d7559f480984e1c58b75fdcf,811121e437d287f684c53dae9803d1d5,dcc67b55d7559f480984e1c58b75fdcf
1,//@今天是一只肥柴:你会在网吧用手机玩QQ飞车手游吃老干妈吗[笑cry][允悲] ,非敏感,转发,7/2/2020 9:02,@森赛 老干妈永不为奴！（我们拒绝引述高能权贵视角，摆事实，讲道理，试图和列位壮士一起捋清一桩桩迷惑行为背后的商业逻辑）没人任何一家公司或个人可以从营销层面战胜过老干妈，一次都没有。老干妈所有的市场行为，都是广告，这个载体可以是腾讯，可以是马应龙，可以是国潮品牌，也可以是任何电商平台。而她令人迷惑的操作艺术，是值得所有人研究的商业传奇。我从两年前写老干妈与马应龙携手攻占美国时，就提到过这一点，这和老干妈独特的经营方式有关，和领导人对于品牌的长远规划有关，更主要的，是老干妈洞悉人性的精准市场定位。以老干妈主,普通,湖南, ,男,//@今天是一只肥柴:你会在网吧用手机玩QQ飞车手游吃老干妈吗[笑cry][允悲] 【原微博】 @森赛 老干妈永不为奴！（我们拒绝引述高能权贵视角，摆事实，讲道理，试图和列位壮士一起捋清一桩桩迷惑行为背后的商业逻辑）没人任何一家公司或个人可以从营销层面战胜过老干妈，一次都没有。老干妈所有的市场行为，都是广告，这个载体可以是腾讯，可以是马应龙，可以是国潮品牌，也可以是任何电商平台。而她令人迷惑的操作艺术，是值得所有人研究的商业传奇。我从两年前写老干妈与马应龙携手攻占美国时，就提到过这一点，这和老干妈独特的经营方式有关，和领导人对于品牌的长远规划有关，更主要的，是老干妈洞悉人性的精准市场定位。以老干妈主打产品“牛肉末豆豉油辣椒酱”为例，天猫老干妈旗舰店线上售价9.9元，线下维持在11元以内，主打低端价格市场，问世至今，在7~12元的价格区间内，“红罐辣椒油，老干妈头像贴标”的形象深入人心，而关键的，在于独一无二的口味。这个口味是创始人陶华碧的独家秘方，是“关键价值”，也是立世之本。网传她曾为打假奔走全国，并成立了贵州贵阳南明最牛逼的法务部，专门进行商业打假。所有的商业打假都需要向法院起诉，裁定结果都可以在当地裁判文书网站查阅，是公开资料。在天眼查所有关于老干妈（主体之一：贵阳南明老干妈风味食品有限责任公司）涉诉报告中，从15年至今，只有16起，其中大多是劳务仲裁（大多数公司最常见的涉诉类型），其次是与建筑施工方的撕逼，在扯皮中互有胜负，看不出法务能力的高低，甚至多起败诉。如果扩大搜索范围，从13年至今，关于商标权的司法解析案例有5起，其中3起是和同一家四川“妈”系类名的公司，有1起疑似被“碰瓷”案件（被北京全景视觉网络投诉侵权，后对方撤诉，这个公司回头单独起一期，他们才是宇宙第一牛逼的法务部）。这些案件和市面上听到的传说严重不符，不是说老干妈起诉山寨厂让他们家破人亡吗？不是说老干妈以一己之力消灭了整个南中国的假辣椒油市场吗？这就是类似于可口可乐一直宣传的“秘方存在国家银行保险柜”中一样，是个噱头，是一种“区域拒止反介入”战术，意思是告诉你“我有核武器能消灭你，但我按兵不动，让对方不敢轻举妄动”。不得不说，这一战术在13-15年时期还是有效的，一时间，老千妈，老奶妈，老干奶的都消失了，但聪明机智的国人会有更多起名艺术让你夜不能寐。于是，老干妈申请注册了近百个类似名字的商标，作为自己的商业护城河，这是商业公司的常规战术。目前市面上飞着无数关于老干妈的消息，内鬼秘方泄露事件、双子夺嫡事件、河南辣椒替换事件、永不上市言论、打到美国去等等。如果从定性分析的角度来看这些事件，会发现这其实都是一件事，就是“群众喜闻乐见的故事”。经过检索历史视频，大多数言论都是13年贵州卫视2公共频道对于陶华碧本人的采访，在此次采访中，陶华碧透露出两条信息“赚美国人的钱，做大后第一步就要打到美国去”，但注意，老人家没有提“不赚中国人的钱”，这是商业，盈利是目的，无可厚非，在此纠结很不可爱。第二就是“她本人很爱干净讲卫生，解读了商标头像的原因”。从舆论属性来看，“打美国”是一种民粹思维，当然，后来我也按照这个思路帮了老干妈个小忙，主要是人家自己借助亚马逊平台实现了“海外奢侈品料理酱”的品牌定位。这种民粹思维和老干妈主流受众定位相符。“爱干净讲卫生”这是加强了这种印象，好比干净整洁的沙县小吃，如果地段合适，不会比街对面的麦当劳流水差。而“内鬼秘方泄露事件”、“双子夺嫡事件”找不到信源，这两件可归为“社会秘辛”，算野史。这些传播事件中，可能最火的就是“用河南辣椒替换贵州辣椒，造成口味不适，销量下滑”和“老干妈永不上市”言论了。在中国辣椒网上可以明确看到，河南辣椒每公斤比贵州当地辣椒要便宜10-12元，这在每年用量近1.5万吨辣椒的老干妈来说，是巨大的价格差，这个差额可以当成控制成本节流下的利润，当然，也可以当成对未来销售额的提前透支。据贵州广播电视台拍摄的一段名为“发现身边的贵州制造：原来你是这样的老干妈”短视频显示，采访人员进入贵阳龙洞堡老干妈厂区后发现，在她面前有三种辣椒，分别是来自遵义的“遵椒一号”、“河南三樱椒”及“新疆大板椒”，每年老干妈消耗的辣椒超过4万吨。（出自《北京时间财经》2018-11-20《老干妈遭专家怒怼“被骗”：贵州辣椒改用河南辣椒真相》一文）难道老干妈真的用河南辣椒来降低成本，哪怕付出市场占有率下降的代价吗？据河南《漯河日报》一篇名为“漯河这个镇被称为中国辣椒第一镇！老干妈用的也是咱漯河的辣椒”的文章，该文引用一位经纪人的说法称，“老干妈辣椒酱，非常有名，每年他们都要来王岗镇挑货”，王岗镇如今已成为全国知名的辣椒交易集散地。而中国食品产业分析师朱丹蓬也表示，“有好几个朋友跟我说过，老干妈现在味道吃起来跟以前不一样，味道不正了。”关键问题在于，“老干妈替换辣椒是因为什么？”朱丹蓬说。河南当地的媒体《大河报》等经常报道老干妈采购人员前去采购辣椒的新闻，看上去的确是老干妈的市场行为，但与此同时，老干妈帮助当地椒农改良品种的新闻却鲜有报道，当地梁岗村也在积极更换升级辣椒品种。面对媒体铺天盖地的质疑声浪，写新闻的记者很可能都从没吃过老干妈，老干妈这一次没有发声。这就像农夫山泉的“找水”广告，从千岛湖到长白山下，给消费者的直观感受，是农夫山泉严格把控水质的好印象。这是对于使用者的“心智建设”。而当贵州本地辣椒产量已不足以供给老干妈和诸多新崛起的辣椒酱巨头时，外采无疑是保证产量和生产安全的市场行为。这也是老干妈的难言之隐，如今，对于老干妈高盐高油的质疑不绝于耳，可辣椒酱不就是酱婶的吗？不过话没有绝对，可口可乐也推出过无糖可乐、零度，在老干妈的产品宇宙中，大量奇葩诡异的味道也逐渐生产了出来。你能说这是一家好酒不怕巷子深的企业？恰恰相反，老干妈对于市场的风向高度敏感。那句永不上市的言论并不是说给消费者们听的，这句话我们听着对于老干妈没有任何影响，“你上不上市和我有个什么关系呢？好吃不完了呗。”这话被不断强调，甚至在国内形成了“四大”，老干妈、华为、顺丰和哇哈哈。这话是说给供应链听的，不上市，不融资，不做资产抵押，不做风险投资，和上游采购方现钱现结，给渠道一定的利润空间，不押款，保证了现金流。这些组合拳打出来，只有一个目标，就是“可以不受任何资本的控制，不用对任何控股资方负责”。尽管深交所常去老干妈企业视察，给外界造成的印象是要上市等，但没有一条有力的线索可以证明上市企图。如果说老干妈在QQ飞车中真的投钱做了跨界广告，我一点也不会感到奇怪，玩飞车的，在网吧的，游戏入了迷，吃饭凑合两口，老干妈是最佳抚慰剂，而马应龙，才是精神良药。#3人伪造老干妈印章与腾讯签合同#,1549861,58827,0,0,0,3人伪造老干妈印章与腾讯签合同,喜悦,"河南省,河南,王岗镇,漯河,漯河市,贵州省,贵州,贵阳,遵义,贵阳市,遵义市", ,0aa0b00efa718aec6421754babed186b,af4d8523b288fd4488e43e65531b1625,d104598218664be40f97769fa74a1974,2b144aae4c49630f6048201962f4a593,d104598218664be40f97769fa74a1974,2b144aae4c49630f6048201962f4a593
1,//@风韵犹存的老富婆:老干妈:腾讯做慈善呢？莫名其妙[笑cry] ,敏感,转发,7/2/2020 9:02,@澎湃新闻 #老干妈回应是否知晓腾讯广告推广#【老干妈公司相关负责人回应澎湃：暂不清楚腾讯是否会撤诉】7月1日下午，贵阳老干妈公司相关负责人回应澎湃表示，他们也正在看警方通报，具体情况记者需要向警方了解。对于腾讯方面是否会撤诉，该负责人表示，暂时还不清楚。对于之前有没有注意到腾讯的广告推广事宜，上述负责人称，“我们正在核实当中。”据警方通报，初步查明，#3人伪造老干妈印章与腾讯签合同#，已被刑拘。此前，腾讯表示老干妈欠广告费，老干妈回应称双方无任何商业合作，已报案。http://t.cn/A6yh61AC,普通,湖南, ,男,//@风韵犹存的老富婆:老干妈:腾讯做慈善呢？莫名其妙[笑cry] 【原微博】 @澎湃新闻 #老干妈回应是否知晓腾讯广告推广#【老干妈公司相关负责人回应澎湃：暂不清楚腾讯是否会撤诉】7月1日下午，贵阳老干妈公司相关负责人回应澎湃表示，他们也正在看警方通报，具体情况记者需要向警方了解。对于腾讯方面是否会撤诉，该负责人表示，暂时还不清楚。对于之前有没有注意到腾讯的广告推广事宜，上述负责人称，“我们正在核实当中。”据警方通报，初步查明，#3人伪造老干妈印章与腾讯签合同#，已被刑拘。此前，腾讯表示老干妈欠广告费，老干妈回应称双方无任何商业合作，已报案。http://t.cn/A6yh61AC http://t.cn/A6yh5CAq,1549861,58827,2,0,3,3人伪造老干妈印章与腾讯签合同;老干妈回应是否知晓腾讯广告推广,喜悦,"贵州省,贵州,贵阳,贵阳市", ,0aa0b00efa718aec6421754babed186b,855b2da3e9f0b458fc296cd26908f532,3539058d27b9607966b37909a72bb4fc,c7d207133d5343995b0e98e22a6edc7d,3539058d27b9607966b37909a72bb4fc,c7d207133d5343995b0e98e22a6edc7d
1,节后余生[羞嗒嗒][羞嗒嗒][羞嗒嗒] ,非敏感,转发,11/13/2020 20:34,"@人民网 【12年双11""，见证了中国数字化力量的成长】今年是第十二个“双11”，天猫“双11”总成交额达4982亿元。作为疫情后的大型消费季，今年共有500万商家、25万个品牌、近8亿消费者参与；2000个产业带、30万外贸工厂、超3万海外品牌加入，双11的价值半径在不断扩大。激发消费潜力、拉动工厂活力、驱动数字升级，12年我们一起见证了中国数字化力量的成长。#双十一全球动起来# http://t.cn/A6GoXt4w""",金V,河北,邢台,女,"节后余生[羞嗒嗒][羞嗒嗒][羞嗒嗒] 【原微博】 @人民网 【12年双11""，见证了中国数字化力量的成长】今年是第十二个“双11”，天猫“双11”总成交额达4982亿元。作为疫情后的大型消费季，今年共有500万商家、25万个品牌、近8亿消费者参与；2000个产业带、30万外贸工厂、超3万海外品牌加入，双11的价值半径在不断扩大。激发消费潜力、拉动工厂活力、驱动数字升级，12年我们一起见证了中国数字化力量的成长。#双十一全球动起来# http://t.cn/A6GoXt4w""",1103446,10578,0,0,0,双十一全球动起来,喜悦,其他, ,5cf6ab8ae7495d27229727bd8e12b3b6,b88b23181fae61a422185eb8d61985f1,cd86e9c3aa054b0bbc0dc85e8b8f7306,acf5f109844cf5deec14067bbcbc18a7,cd86e9c3aa054b0bbc0dc85e8b8f7306,acf5f109844cf5deec14067bbcbc18a7
1,#老干妈店铺重新上架1000瓶辣椒酱##老干妈称上架1000瓶辣椒酱与其无关# 继腾讯发出1000瓶老干妈全网寻骗子后，老干妈迅速在老干妈上架1000瓶大客户组合装辣椒酱，疑似回怼腾讯。千瓶辣椒酱一度售罄，老干妈专门发公告表示：千元套餐只是促销，并无他意，在晚上的淘宝直播里重新上架，并霸气称白送辣椒酱，网友在直播间催快快上链接，1000瓶辣椒酱被秒抢。这次腾讯和老干妈事件，你站谁呢？[羞嗒嗒],非敏感,原创,7/2/2020 22:03, ,金V,河北,衡水,女,#老干妈店铺重新上架1000瓶辣椒酱##老干妈称上架1000瓶辣椒酱与其无关# 继腾讯发出1000瓶老干妈全网寻骗子后，老干妈迅速在老干妈上架1000瓶大客户组合装辣椒酱，疑似回怼腾讯。千瓶辣椒酱一度售罄，老干妈专门发公告表示：千元套餐只是促销，并无他意，在晚上的淘宝直播里重新上架，并霸气称白送辣椒酱，网友在直播间催快快上链接，1000瓶辣椒酱被秒抢。这次腾讯和老干妈事件，你站谁呢？[羞嗒嗒],1103446,10578,0,3,5,老干妈称上架1000瓶辣椒酱与其无关;老干妈店铺重新上架1000瓶辣椒酱,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/71f40b42ly1ggcz7lx2w2j20qo13cdj3.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/71f40b42ly1ggcz7zmv7ej20ku1301kx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/71f40b42ly1ggcz7kpxs9j20ql0qrmzn.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/71f40b42ly1ggcz807e8xj20hs0b1wll.jpg""]""",5cf6ab8ae7495d27229727bd8e12b3b6,c19dc3dce6de07c170009bbea535c516,,,,
