text,label
  敖子逸的正牌麻麻 拜托 搞清楚，腾讯自己的广告部门在百度搜索引擎上找业务误入诈骗网站，这也能扯上“挡枪”？最多腾讯和百度两边再去掐，反正跟老干妈没关系，现在找业务还用百度搜索？大学生找工作都不这么找了好吗 腾讯自己的也要反省下   白云深处有烟火 又见挡枪事件，我比较好奇腾讯的 ,1
转发微博 ,0
转发微博 ,0
转发微博 ,0
[二哈] ,0
转发微博 ,0
  海吧分析吧 [二哈]就差一个360了，一会会不会出来说鹅场工作人员用的360浏览器上的百度搜索 ,0
  不闹人的九儿 还有个憨憨法院也不审查下材料，把老干妈资产冻结了   祖宗 腾讯找了个假老干妈签广告，然后假老干妈没付钱，腾讯错把真老干妈告了，老干妈报警了[doge] ,1
啊这哈哈哈哈哈哈 ,0
这个瓜笑死我了  呂玲綺 哈哈哈哈哈哈哈哈哈 ,0
有我 ,0
转发微博 ,0
我来了 ,0
转发微博 ,0
转发微博 ,0
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我他妈笑吐了  午后狂睡 ……没想到鹅厂居然有一天也栽倒在了山寨品上，2020年着实刺激  ,0
[挤眼]  用户7472381350会飞的鱼 转发微博 ,0
害看看热闹 ,0
[并不简单]  用户7472381350会飞的鱼 转发微博 ,0
小破站鹅厂表态，中午的辣椒酱突然不香了[doge] 3人伪造老干妈印章与腾讯签合同  ??,0
来了 ,0
参与一下，今年为啥返场没啥好东西  ,0
 易川川川儿 来看大欺诈师深圳篇  游研社 更新： 3人伪造老干妈印章与腾讯签合同 ，目的是为了获取腾讯公司在推广活动中配套赠送的网络游戏礼包码  http  t cn/A6yh2zYS ,0
来试试 ,0
谢谢? ,0
这也太搞笑了[笑cry][笑cry][笑cry]鹅被骗了 ,0
 3人伪造老干妈印章与腾讯签合同 万万没想有生之年能看到腾讯吃哑巴亏[笑cry][笑cry] ??,0
？？？这事最逗的不是裁定书都出了吗[笑cry] ,0
转发微博 ,0
本来日常经营平稳 被拉入悬崖绝壁上 这就是双11 ,0
我怎么有点开 ？[doge] ,0
哈哈哈哈哈哈哈哈哈哈哈 ,0
转发微博 ,0
  吃瓜群众CJ 老干妈血赚  江宁婆婆 [允悲][允悲][允悲]你还弄个完整版  ,0
转发微博 ,0
  日向飞羽 公关还整挺好，不过?永远恶 鹅厂，买办资本家装你?呢，呕 ,0
妈 这真的很好笑 哈哈哈哈哈哈哈哈哈  ,0
[费解][费解][费解][费解][费解]  银发的小卷子 为了获取游戏礼包码…… ,0
我爱了  淘票票 参与了4982亿大项目的小淘气前来报到[来]马上贺岁档?春节档大幕即将拉开  票票福利  关注 淘票票 转发?评论【你最期待的电影】本票将随机抽取10个小淘气每人2电影票? ,0
转发微博 ,0
