text,label
转发微博 ,0
  我知道你全都知道M  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
期待蔡徐坤，不见不散[打call][打call] ,0
  多爱wjk一秒的Lei  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
  邓超 恭喜王哥[doge] ,1
转发微博 ,1
[摊手]ddd  一只不开 的刺猬  英雄联盟代言人  英雄联盟9周年  英雄联盟9周年明星赛   周杰伦王俊凯代言lol  是英雄联盟中国区品牌代言人王俊凯  Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
转发微博 ,0
转发微博 ,0
李现，想偷偷潜入你的梦，陪你玩陪你疯，陪你走过春夏秋冬 李现ing ,1
 乘风破浪的姐姐成团之夜 恭贺 宁静 今日成团啦 [给你小  ][给你小  ][给你小  ] 静静Queen无限可能 一路披荆斩棘slay全场 陪宁乘风破浪，看静闪闪发亮[ ] 姐姐的吃瓜基地  ??,0
湖人总冠军 再来一波 [干杯][干杯][干杯] http  t cn/RJLlOoI ??天津,0
  锦鲤岚要暴富1 [打call] 王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
 奥巴马祝贺詹姆斯夺冠  【排面 美国前总统奥巴马发推祝贺詹姆斯夺冠 】奥巴马写道：“为我的朋友詹姆斯感到骄傲，为了他的第四座总冠军奖杯，第四个总决赛MVP，为了他在生涯第17个赛季依然没有辜负大家的期待而骄傲 除了球场，他在场外也是一位成就卓越的领袖 他一直在为教育 社会公平和我们的价值而奋斗 ” 湖人总冠军 ,0
[太开 ][太开 ]mmm  -哒哒-DADA  英雄联盟代言人  英雄联盟9周年  英雄联盟9周年明星赛  / 周杰伦王俊凯代言lol  恭英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
[哪吒得意][哪吒开 ] ,0
3  其实都没有wr [赞]  王俊凯的蓝血护卫队  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是 英雄联盟代言人  王俊凯  TFBOYS-王俊凯   英雄联盟 非常开 看到小凯来参加 英雄联盟9周年明星赛  [打call]玩得很好哦刀妹三杀又超神的，撸妹儿自愧不如  ,1
  MagicRice_ [憧憬][憧憬]  周深工作室 今晚8 00，   乘风破浪的姐姐 成团之夜，看姐姐们乘风破浪，slay全场  ,1
转发微博 ,0
我时常恍惚忘记王建国也有好笑的时候(一两场) ,0
有时候读书是一种巧妙地避开思考的方法 ,0
[害羞] ,0
[摊手][摊手]zzz  -哒哒-DADA  英雄联盟代言人  英雄联盟9周年  英雄联盟9周年明星赛  / 周杰伦王俊凯代言lol  恭英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
  王俊凯微吧  王俊凯是电竞男主吧  七载蟹守王俊凯  王俊凯[超话] 感谢分享，英雄麦克疯来了~一起来回顾英雄联盟9周年明星赛上 TFBOYS-王俊凯 超神刀妹Karry全场的高光时刻，期待更多精彩[打call] Beautiful-TFBOYS-王俊凯[音乐]  ,0
期待 张雨绮 和 李斯丹妮 今晚《粉红色的回忆》? 嗷呜～  ?? 乘风破浪的姐姐总决赛，冲 冲 冲 成团   张雨绮 所有的事情，我选择，我承担，你愿意陪我看这一场烟花吗？ ,0
湖人总冠军 ??,0
  MagicRice_ [憧憬][憧憬]  周深工作室 今晚8 00，   乘风破浪的姐姐 成团之夜，看姐姐们乘风破浪，slay全场  ,1
1  锦鲤岚要暴富1 [打call] 王俊凯[超话] / 王俊凯是电竞男主吧   是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
可这节目不他妈就是横向比较的比赛吗？ ,0
30  其实都没有wr [赞]  王俊凯的蓝血护卫队  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是 英雄联盟代言人  王俊凯  TFBOYS-王俊凯   英雄联盟 非常开 看到小凯来参加 英雄联盟9周年明星赛  [打call]玩得很好哦刀妹三杀又超神的，撸妹儿自愧不如  ,1
[好爱哦]  ACE想睡觉  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
[好爱哦][吃惊]怎么看怎么喜欢，[太阳] ,0
好撩 ,0
[右哼哼]nnn  一只不开 的刺猬  英雄联盟代言人  英雄联盟9周年  英雄联盟9周年明星赛   周杰伦王俊凯代言lol  是英雄联盟中国区品牌代言人王俊凯  Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
啊啊啊啊啊啊啊 这个改编太超过了啊啊啊啊啊  ,0
8  其实都没有wr [赞]  王俊凯的蓝血护卫队  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是 英雄联盟代言人  王俊凯  TFBOYS-王俊凯   英雄联盟 非常开 看到小凯来参加 英雄联盟9周年明星赛  [打call]玩得很好哦刀妹三杀又超神的，撸妹儿自愧不如  ,1
15  月半蟹蟹的小哥哥  王俊凯[超话] / 周杰伦王俊凯代言lol  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
好可爱的回复啊[允悲]爱了爱了 ,0
?湖人总冠军? ??,0
速效救 丸真的是必备[可爱] ,1
勒布朗 ,0
  立农控评中   陈立农[超话]  [打call] 陈立农小巨人运动会  期待领队人陈立农 带领大家一起活力四射  陈立农 ,0
 王俊凯是电竞男主吧  [打call]   动渝州 是的 我刚才还在和朋友夸 这真的是品牌和代言人的双向努力 考虑到了玩家感受 从锅老师的游戏邀约就开始一步步的向玩家透露一些信息也靠着代言人本人的实力提高了接受度 从舆论来看这次合作真的皆大欢喜双赢 这都是因为有 的品牌方和有过硬本领的代言人 ,0
jv  KW-yiii33  锵锵  王俊凯的高三美蟹   王俊凯[超话] / 王俊凯是电竞男主吧  是资深的LOL玩家王俊凯，是英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]  TFBOYS-王俊凯 ,1
  詹姆斯吧官方微博 转发抽10件詹姆斯卫衣 啥时候帮老詹看看脱发[doge] 毛发医生徐鲁 ,0
坤坤牛到我嗓子哑了 好痛 好有氛围a 坤坤怎么那么有才华那么厉害 真的为舞台而生   蔡徐坤工作室  蔡徐坤情人改编版舞台  梦想不止，乘风直上； 系舞台，逐浪奔赴 青年歌手 蔡徐坤 再度和前卫艺术家合作《情人》舞台，独特声线游走于光电变幻间，带来一场顶级的视听盛宴 成团夜蔡徐坤舞台  ,0
 乘风破浪的姐姐成团之夜 伊能静这票数也太惨了点 [二哈] ??,0
你有病吧，祝愿你收官收视率跌倒谷底[ ] ,0
 姐就是敢上天呢歌词  ???? 姐姐直播，郁可唯 郑希怡 蓝盈莹 张含韵 万茜 黄龄《姐就是敢上天呢》表演舞台魅力十足[打call] 乘风破浪的姐姐成团之夜  http  t cn/A64fXPfW ??,0
[色][色]aaa  -哒哒-DADA  英雄联盟代言人  英雄联盟9周年  英雄联盟9周年明星赛  / 周杰伦王俊凯代言lol  恭英雄联盟中国区品牌代言人王俊凯 Beautiful-TFBOYS-王俊凯[音乐]   TFBOYS-王俊凯 ,1
[挤眼]  用户7472381350会飞的鱼 转发微博 ,0
